Membership No  Date Joined  Active  
    61957      2017-7-19    yes   
    60564      2017-6-12    yes   
    26250      2016-1-1     no    
    25751      2015-6-9     no    
    40527      2020-8-12    no    
    24441      2019-7-15    yes   
    20649      2017-1-23    no    
    72615      2015-5-6     no    
    99052      2018-5-12    yes   
    61639      2020-4-19    no    
    17432      2015-8-15    no    
    19973      2016-2-12    no    
    69970      2016-7-23    no    
    75821      2020-8-15    yes   
    19132      2018-3-8     yes   
    48114      2017-6-2     yes   
    28647      2018-8-7     yes   
    91409      2017-7-23    yes   
    74367      2019-3-3     no    
    11210      2019-8-24    no    
