Membership No  Date Joined  Active  
    34264      2020-7-3     no    
    96441      2015-1-12    yes   
    51326      2018-7-9     no    
    19650      2016-9-1     no    
    36841      2018-5-3     no    
    94136      2019-10-22   yes   
    44604      2015-7-13    yes   
    89155      2019-4-9     yes   
    18641      2018-12-21   yes   
    94557      2018-12-22   yes   
    26417      2017-11-8    yes   
    48784      2020-11-10   no    
    69113      2019-9-17    no    
    22120      2015-4-14    no    
    43704      2020-2-11    yes   
    19156      2017-5-22    no    
    44710      2019-4-2     yes   
    87183      2017-7-4     no    
    47159      2020-12-15   yes   
    92427      2018-11-9    yes   
